Galaxy,T,D,e_D,f_D,Inc,e_Inc,L[3.6],e_L[3.6],Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref.
NGC 1569,,2.0,,,,,,,,,,,,,,,,
Ho II,,3.4,,,,,,,,,,,,,,,,
M81 DwA,,3.6,,,,,,,,,,,,,,,,
DDO 53,,3.6,,,,,,,,,,,,,,,,
Ho I,,3.8,,,,,,,,,,,,,,,,
NGC 3031,,3.6,,,,,,,,,,,,,,,,
NGC 3077,,3.8,,,,,,,,,,,,,,,,
M81 DwB,,5.3,,,,,,,,,,,,,,,,
NGC 3184,,11.1,,,,,,,,,,,,,,,,
NGC 3351,,10.1,,,,,,,,,,,,,,,,
NGC 3621,,6.6,,,,,,,,,,,,,,,,
NGC 3627,,9.3,,,,,,,,,,,,,,,,
NGC 4449,,4.2,,,,,,,,,,,,,,,,
NGC 4736,,4.7,,,,,,,,,,,,,,,,
NGC 4826,,7.5,,,,,,,,,,,,,,,,
NGC 5194,,8.0,,,,,,,,,,,,,,,,
NGC 5236,,4.5,,,,,,,,,,,,,,,,
NGC 5457,,7.4,,,,,,,,,,,,,,,,
NGC 628,,,,,,,,,,,,,,,,,,
NGC 925,,,,,,,,,,,,,,,,,,
NGC 1569,,,,,,,,,,,,,,,,,,
Ho II,,,,,,,,,,,,,,,,,,
M81 DwA,,,,,,,,,,,,,,,,,,
DDO 53,,,,,,,,,,,,,,,,,,
Ho I,,,,,,,,,,,,,,,,,,
NGC 3031,,,,,,,,,,,,,,,,,,
NGC 3077,,,,,,,,,,,,,,,,,,
M81 DwB,,,,,,,,,,,,,,,,,,
NGC 3184,,,,,,,,,,,,,,,,,,
NGC 3351,,,,,,,,,,,,,,,,,,
NGC 3621,,,,,,,,,,,,,,,,,,
NGC 3627,,,,,,,,,,,,,,,,,,
NGC 4449,,,,,,,,,,,,,,,,,,
NGC 4736,,,,,,,,,,,,,,,,,,
NGC 4826,,,,,,,,,,,,,,,,,,
NGC 5194,,,,,,,,,,,,,,,,,,
NGC 5236,,,,,,,,,,,,,,,,,,
NGC 5457,,,,,,,,,,,,,,,,,,
NGC 628,,7.3,,,,,,,,,,,,,,,,
NGC 925,,9.2,,,,,,,,,,,,,,,,
NGC 1569,,2.0,,,,,,,,,,,,,,,,
NGC 2366,,3.4,,,,,,,,,,,,,,,,
NGC 2403,,3.2,,,,,,,,,,,,,,,,
Ho II,,3.4,,,,,,,,,,,,,,,,
M81 DwA,,3.6,,,,,,,,,,,,,,,,
DDO  53,,3.6,,,,,,,,,,,,,,,,
NGC 2841,,14.1,,,,,,,,,,,,,,,,
NGC 2903,,8.9,,,,,,,,,,,,,,,,
Ho I,,3.8,,,,,,,,,,,,,,,,
NGC 2976,,3.6,,,,,,,,,,,,,,,,
NGC 3031,,3.6,,,,,,,,,,,,,,,,
NGC 3077,,3.8,,,,,,,,,,,,,,,,
M81 DwB,,5.3,,,,,,,,,,,,,,,,
NGC 3184,,11.1,,,,,,,,,,,,,,,,
NGC 3198,,13.8,,,,,,,,,,,,,,,,
IC 2574,,4.0,,,,,,,,,,,,,,,,
NGC 3351,,10.1,,,,,,,,,,,,,,,,
NGC 3521,,10.7,,,,,,,,,,,,,,,,
NGC 3621,,6.6,,,,,,,,,,,,,,,,
NGC 3627,,9.3,,,,,,,,,,,,,,,,
NGC 4214,,2.9,,,,,,,,,,,,,,,,
NGC 4449,,4.2,,,,,,,,,,,,,,,,
NGC 4736,,4.7,,,,,,,,,,,,,,,,
DDO 154,,4.3,,,,,,,,,,,,,,,,
NGC 4826,,7.5,,,,,,,,,,,,,,,,
NGC 5055,,10.1,,,,,,,,,,,,,,,,
NGC 5194,,8.0,,,,,,,,,,,,,,,,
NGC 5236,,4.5,,,,,,,,,,,,,,,,
NGC 5457,,7.4,,,,,,,,,,,,,,,,
NGC 6946,,5.9,,,,,,,,,,,,,,,,
NGC 7331,,14.7,,,,,,,,,,,,,,,,
NGC 7793,,3.9,,,,,,,,,,,,,,,,
NGC 628,,,,,,,,,,,,,,,,,,
NGC 925,,,,,,,,,,,,,,,,,,
NGC 1569,,,,,,,,,,,,,,,,,,
NGC 2366,,,,,,,,,,,,,,,,,,
NGC 2403,,,,,,,,,,,,,,,,,,
Ho II,,,,,,,,,,,,,,,,,,
M81 DwA,,,,,,,,,,,,,,,,,,
DDO  53,,,,,,,,,,,,,,,,,,
NGC 2841,,,,,,,,,,,,,,,,,,
NGC 2903,,,,,,,,,,,,,,,,,,
Ho I,,,,,,,,,,,,,,,,,,
NGC 2976,,,,,,,,,,,,,,,,,,
NGC 3031,,,,,,,,,,,,,,,,,,
NGC 3077,,,,,,,,,,,,,,,,,,
M81 DwB,,,,,,,,,,,,,,,,,,
NGC 3184,,,,,,,,,,,,,,,,,,
NGC 3198,,,,,,,,,,,,,,,,,,
IC 2574,,,,,,,,,,,,,,,,,,
NGC 3351,,,,,,,,,,,,,,,,,,
NGC 3521,,,,,,,,,,,,,,,,,,
NGC 3621,,,,,,,,,,,,,,,,,,
NGC 3627,,,,,,,,,,,,,,,,,,
NGC 4214,,,,,,,,,,,,,,,,,,
NGC 4449,,,,,,,,,,,,,,,,,,
NGC 4736,,,,,,,,,,,,,,,,,,
DDO 154,,,,,,,,,,,,,,,,,,
NGC 4826,,,,,,,,,,,,,,,,,,
NGC 5055,,,,,,,,,,,,,,,,,,
NGC 5194,,,,,,,,,,,,,,,,,,
NGC 5236,,,,,,,,,,,,,,,,,,
NGC 5457,,,,,,,,,,,,,,,,,,
NGC 6946,,,,,,,,,,,,,,,,,,
NGC 7331,,,,,,,,,,,,,,,,,,
NGC 7793,,,,,,,,,,,,,,,,,,
